epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1171.72,2.37466,3.61362,1.53099,0.48363,0.38772,0.33673,0.12284,2.09274,2.69889,1.50226,0.000369376,0.000369376,0.000369376
2,2348.21,2.14872,2.44922,1.43397,0.43547,0.43745,0.42637,0.16795,2.04035,2.2316,1.49839,0.000715299,0.000715299,0.000715299
3,3463.81,2.11059,2.13896,1.42129,0.46164,0.46637,0.47529,0.17631,2.1152,1.9435,1.53533,0.00103678,0.00103678,0.00103678
4,4591.39,2.07666,1.95927,1.42932,0.5149,0.4701,0.46458,0.17916,2.06369,1.86739,1.52681,0.00100101,0.00100101,0.00100101
5,6308.99,2.04658,1.82209,1.39992,0.58265,0.5041,0.53418,0.22092,1.98944,1.72985,1.50984,0.000964348,0.000964348,0.000964348
6,8683.18,2.02587,1.75447,1.38394,0.611,0.5462,0.59357,0.21898,2.08641,1.63356,1.53563,0.000927685,0.000927685,0.000927685
7,11269.3,1.99296,1.69967,1.36333,0.67752,0.57133,0.61617,0.24392,2.01136,1.52354,1.50823,0.000891022,0.000891022,0.000891022
8,21216.5,1.97186,1.67583,1.35587,0.72219,0.60114,0.69104,0.28368,1.91611,1.46782,1.45381,0.000854359,0.000854359,0.000854359
9,22972.3,1.95863,1.61929,1.358,0.7611,0.59567,0.68966,0.28409,1.92073,1.43767,1.45046,0.000817696,0.000817696,0.000817696
10,24386.6,1.94095,1.5648,1.33767,0.75084,0.60713,0.70573,0.29259,1.91148,1.42702,1.43439,0.000781033,0.000781033,0.000781033
11,25520.6,1.92743,1.54341,1.33157,0.7445,0.64386,0.73106,0.30877,1.9134,1.34103,1.43481,0.00074437,0.00074437,0.00074437
12,26649.2,1.92604,1.50186,1.33215,0.74535,0.6721,0.73577,0.30653,1.91597,1.33967,1.43403,0.000707707,0.000707707,0.000707707
13,28572.8,1.91126,1.50307,1.32467,0.72776,0.6427,0.72059,0.29545,1.90717,1.41333,1.45435,0.000671044,0.000671044,0.000671044
14,29964.3,1.90099,1.46549,1.32352,0.76639,0.6458,0.73538,0.31251,1.91899,1.32566,1.44446,0.000634381,0.000634381,0.000634381
15,31358.6,1.9023,1.44163,1.31912,0.80927,0.63743,0.74456,0.31596,1.92292,1.31384,1.44148,0.000597718,0.000597718,0.000597718
